id_cdec,basin_cdec,group_cdec,lat_cdec,lon_cdec,nearby_cty_cdec,gage_oper_cdec,data_collect_cdec,county_cdec,name_cdec,gelev_ft_cdec
JED,Smith R,North Coast,41.79150391,-124.0761871,Crescent City,USGS & DWR,,Del Norte,Smith R Nr Crescent City (jed Smith Sp),120
IHC,Klamath R,North Coast,41.83512497,-123.38311,Happy Camp,USGS,,Siskiyou,Indian Creek Near Happy Camp,1198
OLS,Klamath R,North Coast,41.30345917,-123.5345001,Orleans,USGS & DWR,,Humboldt,Klamath River At Orleans,430
KIG,Klamath R,North Coast,41.92791748,-122.444191,Yreka,USGS,,Siskiyou,Klamath River Below Iron Gate Dam,2162
KNK,Klamath R,North Coast,41.51095581,-123.9795151,Klamath,USGS,,Del Norte,Klamath River Near Klamath,60
KSV,Klamath R,North Coast,41.85373688,-123.2322769,Yreka,USGS,,Siskiyou,Klamath River Near Seiad Valley,1320
SFJ,Klamath R,North Coast,41.64068985,-123.0150375,Fort Jones,USGS & Quartz Valley Tribe,Satellite,Siskiyou,Scott River Near Fort Jones,2623
LSR,Shasta R,North Coast,41.73309326,-122.3503571,Montague,Nature Conservancy,Data Xchg-nat Conser,Siskiyou,Little Shasta R Nr Montague,2800
SPU,Shasta R,North Coast,41.61,-122.47111,Grenada,DWR/North Region ,Satellite,Siskiyou,Shasta R At Grenada Pump Plant,2560
SRM,Shasta R,North Coast,41.70903015,-122.5380783,Montague,USGS,,Siskiyou,Shasta River Near Montague,2458
SRY,Shasta R,North Coast,41.82291794,-122.5955811,Yreka,USGS,,Siskiyou,Shasta River Near Yreka,2000
SMS,Salmon R,North Coast,41.37651443,-123.477005,Orleans,USGS,,Siskiyou,Salmon River At Somes Bar,483
GVC,Trinity R,North Coast,40.68653488,-122.8611374,Lewiston,USGS,,Trinity,Grass Valley Ck Nr Lewiston,1680
ICD,Trinity R,North Coast,40.6519,-122.9133,Douglas City,USGS,,Trinity,Indian Ck Nr Douglas City,1670
