res,res_cdec,cdecid, nwsid, lat_middleres_wgs84,lon_middleres_wgs84
Britton, NA, NA, BTOC1, 41.029590, -121.64527
McCloud, NA, NA, MCZC1, 41.134369, -122.074810
IronCanyon, NA, NA, ICYC1, 41.043864, -121.984952
Pit6, NA, NA, PTXC1, 40.924431, -121.994217
Pit7, NA, NA, PTZC1, 40.851190, -121.987838
Trinity,Trinity,CLE,CEGC1, 40.83615,-122.78548
Whiskeytown, Whiskeytown,WHI,WHSC1,40.62386,-122.56661
Lewiston, Lewiston,LEW, LLKC1,40.74453,-122.80037
Sonoma_warmspring, Sonoma (Warm Springs),WRS, WSDC1, 38.69475,-123.02397
Mendocino_coyote,Mendocino (Coyote),COY, LAMC1, 39.21769,-123.17339
Shasta,Shasta,SHA,SHDC1, 40.77326,-122.37207
Keswick, Keswick,KES, KWKC1, 40.6149,-122.44537
Oroville, Oroville,ORO,ORDC1,39.559697,-121.458106
Antelope, Antelope,ANT,NA,40.178997,-120.592638
Frenchman,Frenchman,FRD,FHDC1,39.906697,-120.192237
Lake Davis, Lake Davis,DAV,DVSC1,39.916214,-120.511755
New Bullards Bar, Bullards Bar,BUL,NBBC1,39.4393787,-121.13058
Englebright, Englebright,ENG,HLEC1,39.25347,-121.267539
Folsom, Folsom,FOL,FOLC1,38.720229,-121.13882
Union Valley, Union Valley,UNV,NA,38.871366,-120.422482
Loon Lake, Loon Lake,LON,NA,38.995834,-120.314511
Ice House, Ice House,ICH,NA,38.82393,-120.342309
Nimbus, Nimbus, NAT,NIMC1,38.639647,-121.209933
Indian Valley, Indian Valley,INV,INVC1,39.119006,-122.540437
Berryessa, Berryessa,BER,LBEC1,38.588937,-122.234696
Black Butte, Black Butte,BLB,BLBC1,39.787223,-122.360578
East Park, East Park, NA, EPRC1, NA, NA
Stony Gorge, Stony Gorge, NA, SGEC1, NA, NA
New Hogan, New Hogan,NHG,NHGC1,38.153322,-120.802093
Camanche, Camanche,CMN,CMCC1,38.224556,-120.996085
Pardee, Pardee,PAR,NA,38.261574,-120.846178
