basin_cdec,cfs_cdec,cfs_usgs,county_cdec,data_collect_cdec,gage_oper_cdec,gelev_ft_cdec,group_cdec,hist_pkflow_usgs,id_cdec,id_nws,id_usgs,lat_cdec,lat_usgs,lon_cdec,lon_usgs,most_recent_cdec,most_recent_usgs,name_cdec,name_usgs,nearby_cty_cdec,nwsfloodstg_ft_usgs,stage_ft_usgs,state_usgs
Smith R,1509,1510,Del Norte,NA,USGS & DWR,120,North Coast,228000,JED,CREC1,11532500,41.79150391,41.7915026,-124.0761871,-124.0761887,2019-05-31T07:45:00Z,2019-05-31T07:45:00Z,Smith R Nr Crescent City (jed Smith Sp),Smith R Nr Crescent City Ca,Crescent City,29,6.76,ca
Klamath R,324,324,Siskiyou,NA,USGS,1198,North Coast,39000,IHC,HAPC1,11521500,41.83512497,41.83512325,-123.38311,-123.3831113,2019-05-31T07:45:00Z,2019-05-31T07:45:00Z,Indian Creek Near Happy Camp,Indian C Nr Happy Camp Ca,Happy Camp,NA,4.42,ca
Klamath R,8121,8120,Humboldt,NA,USGS & DWR,430,North Coast,307000,OLS,ONSC1,11523000,41.303459169999996,41.3034599,-123.5345001,-123.5345036,2019-05-31T07:30:00Z,2019-05-31T07:30:00Z,Klamath River At Orleans,Klamath R A Orleans,Orleans,38,6.95,ca
Klamath R,1390,1390,Siskiyou,NA,USGS,2162,North Coast,29400,KIG,IRGC1,11516530,41.92791748,41.92791865,-122.444191,-122.4441882,2019-05-31T08:15:00Z,2019-05-31T07:15:00Z,Klamath River Below Iron Gate Dam,Klamath R Bl Iron Gate Dam Ca,Yreka,NA,2.65,ca
Klamath R,16399,16400,Del Norte,NA,USGS,60,North Coast,557000,KNK,KLMC1,11530500,41.51095581,41.5109543,-123.9795151,-123.9795164,2019-05-31T07:30:00Z,2019-05-31T07:30:00Z,Klamath River Near Klamath,Klamath R Nr Klamath Ca,Klamath,38,13.05,ca
Klamath R,3903,3920,Siskiyou,NA,USGS,1320,North Coast,165000,KSV,SEIC1,11520500,41.85373688,41.8537379,-123.2322769,-123.2322733,2019-05-31T08:00:00Z,2019-05-31T07:00:00Z,Klamath River Near Seiad Valley,Klamath R Nr Seiad Valley Ca,Yreka,15,4.92,ca
Klamath R,1144,1140,Siskiyou,Satellite,USGS & Quartz Valley Tribe,2623,North Coast,54600,SFJ,FTJC1,11519500,41.64068985,41.64069017,-123.0150375,-123.015037,2019-05-31T07:30:00Z,2019-05-31T07:30:00Z,Scott River Near Fort Jones,Scott R Nr Fort Jones Ca,Fort Jones,15,7.45,ca
Shasta R,17,NA,Siskiyou,Data Xchg-nat Conser,Nature Conservancy,2800,North Coast,NA,LSR,MGSC1,NA,41.73309326,NA,-122.3503571,NA,2019-05-31T07:00:00Z,NA,Little Shasta R Nr Montague,NA,Montague,NA,NA,NA
Shasta R,0,NA,Siskiyou,Satellite,DWR/North Region,2560,North Coast,NA,SPU,GNDC1,NA,41.61,NA,-122.47111,NA,2019-05-31T07:45:00Z,NA,Shasta R At Grenada Pump Plant,NA,Grenada,NA,NA,NA
Shasta R,216,216,Siskiyou,NA,USGS,2458,North Coast,5700,SRM,TAGC1,11517000,41.70903015,41.70903196,-122.5380783,-122.5380787,2019-05-31T07:30:00Z,2019-05-31T07:30:00Z,Shasta River Near Montague,Shasta R Nr  Montague Ca,Montague,NA,2.49,ca
