res_name_cdec,res_id_cdec,res_id_nws,lat_middleres_wgs84,lon_middleres_wgs84
Britton,,BTOC1,41.028968,-121.650858
McCloud,,MCZC1,41.134638,-122.07528
Iron Canyon,,ICYC1,41.054676,-121.976349
Pit 6,,PTXC1,40.92998,-121.995951
Pit 7,,PTZC1,40.849712,-121.989364
Edison,,TAEC1,37.377837,-118.98568
Florence,,FLEC1,37.258752,-118.958626
Huntington,,HNTC1,37.242775,-119.18829
Shaver,,SAVC1,37.125046,-119.292428
Mammoth Pool,,MPLC1,37.331318,-119.32339
Redinger,,RGRC1,37.144282,-119.446346
Crane Valley,,BASC1,37.313391,-119.54978
Kerckhoff,,KRHC1,37.15015,-119.510159
Donnell,,DLLC1,38.337187,-119.941532
Beardsley,,BESC1,38.206481,-120.072324
