FID,STAID,STANAME,ST,HUC,CLASS,FLOW,STAGE,TIME,TIME_UTC,URL,DATUM,COUNT,PERCENTILE,FLOODSTAGE,POINT_X,POINT_Y
0,01010000,"St. John River at Ninemile Bridge, Maine",me,01010001,5,8840,5.37,2019-05-10 10:00:00,2019-05-10 14:00:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01010000,NAD83,67,63.54,15,-69.7155556,46.70055556
1,01010070,"Big Black River near Depot Mtn, Maine",me,01010001,5,1050,6.59,2019-05-10 10:00:00,2019-05-10 14:00:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01010070,NAD83,34,70.02,12,-69.7516667,46.89388889
2,01010500,"St. John River at Dickey, Maine",me,01010001,5,13700,8.34,2019-05-10 10:00:00,2019-05-10 14:00:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01010500,NAD83,72,46.76,25,-69.0880556,47.11305556
3,01011000,"Allagash River near Allagash, Maine",me,01010002,5,5820,5.75,2019-05-10 10:00:00,2019-05-10 14:00:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01011000,NAD83,87,42.46,15,-69.0794444,47.0697222
4,01013500,"Fish River near Fort Kent, Maine",me,01010003,5,6940,8,2019-05-10 10:45:00,2019-05-10 14:45:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01013500,NAD83,88,62.92,11,-68.58277778,47.2375
5,01014000,"St. John River below Fish R, nr Fort Kent, Maine",me,01010001,5,37900,12.3,2019-05-10 10:30:00,2019-05-10 14:30:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01014000,NAD83,91,53.25,22.5,-68.58527778,47.2833333
6,01015800,"Aroostook River near Masardis, Maine",me,01010004,5,4070,7.88,2019-05-10 10:15:00,2019-05-10 14:15:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01015800,NAD83,60,52.9,17,-68.3716667,46.52305556
7,01017000,"Aroostook River at Washburn, Maine",me,01010004,5,7670,5.8,2019-05-10 10:00:00,2019-05-10 14:00:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01017000,NAD83,87,48.7,14,-68.1572222,46.7772222
8,01017060,"Hardwood Brook below Glidden Brk nr Caribou, Maine",me,01010004,0,14.5,1.72,2019-05-10 10:20:00,2019-05-10 14:20:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01017060,NAD83,9,49.5,0,-67.9891667,46.7836111
9,01017290,"Little Madawaska River at Caribou, Maine",me,01010004,0,858,5.21,2019-05-10 10:30:00,2019-05-10 14:30:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01017290,NAD83,9,53.14,0,-67.945,46.8886111
10,01017550,"Williams Brook at Phair, Maine",me,01010005,0,7.95,1.71,2019-05-10 10:45:00,2019-05-10 14:45:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01017550,NAD83,18,41.46,0,-67.9530556,46.62805556
11,01017960,"Meduxnekeag R above S Br Medux. R nr Houlton, ME",me,01010005,0,198,3.73,2019-05-10 10:45:00,2019-05-10 14:45:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01017960,NAD83,14,35.69,0,-67.88138889,46.105
12,01018009,"Pearce Brook at Route 1 at Houlton, Maine",me,01010005,0,10.6,2.22,2019-05-10 10:30:00,2019-05-10 14:30:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01018009,NAD83,9,31.86,0,-67.84027778,46.11527778
13,01018035,"Meduxnekeag River at Lowery Rd. nr Houlton, Maine",me,01010005,0,517,3.29,2019-05-10 10:45:00,2019-05-10 14:45:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01018035,NAD83,12,32.59,0,-67.80388889,46.1811111
14,01018500,"St. Croix River at Vanceboro, Maine",me,01050001,5,1310,6.17,2019-05-10 10:15:00,2019-05-10 14:15:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01018500,NAD83,89,70.54,0,-67.4283333,45.5683333
15,01018900,"West Grand Lake at Grand Lake Stream, Maine",me,01050001,0,0,300.96,2019-05-10 10:00:00,2019-05-10 14:00:00,https://waterdata.usgs.gov/me/nwis/uv?site_no=01018900,NAD83,0,0,0,-67.7780556,45.1811111
