id_usgs,name_usgs,id_nws
3.74E+14,003s028e34rs01m Hot C Fh,
3.74E+14,003s028e35ks01m Hot C Fh,
3.74E+14,003s028e35ns03m Hot C Fh,
3.61E+14,162  S20 E56 31dada1    Kiup Spring,KSGN2
3.56E+14,162  S23 E55 05baab1    Stump Spring,SSGN2
3.60E+14,163  S22 E58 07adda1    Rainbow Spring,RSGN2
9415590,"209 S05 E60 10 1 Crystal Spgs Nr Hiko, Nv",
3.63E+14,220  S17 E67 02acab1    Spring (report R50),
3.63E+14,230  S17 E53 21cac 1    Grapevine Springs,GSUN2
3.63E+14,230 S17 E50 36dc 2 Usnps - Devils Hole,
103087889,4l C Nr Markleeville Ca,
14200700,"Abiqua Creek At Silverton, Or",AQSO3
11509250,"Ady Canal Above Lower Klamath Nwr, Near Worden, Or",
11509200,"Ady Canal At Highway 97, Near Worden, Or",
11048200,Agua Chinon Wash Nr Irvine Ca,AQCC1
11172945,Alameda C Ab Div Dam Nr Sunol Ca,MPTC1
11173510,Alameda C Bl Calaveras C Nr Sunol Ca,
11172955,Alameda C Bl Div Dam Nr Sunol Ca,ACBC1
11173575,Alameda C Bl Welch C Nr Sunol Ca,AWEC1
11180700,Alameda C Flood Channel A Union City Ca,PUKC1
11179100,Alameda C Nr Fremont Ca,ALFC1
11179000,Alameda C Nr Niles Ca,NILC1
11174600,Alamo Cn Nr Pleasanton Ca,ALQC1
11128250,Alamo Pintado C Nr Solvang Ca,APDC1
10254730,Alamo R Nr Niland Ca,ZANC1
11128300,Alisal Res Nr Solvang Ca,ALSC1
9527700,All-american Canal Below Drop 2 Reservoir Outlet,
9523000,"All-american Canal Nr Imperial Dam, Ca-az",
14306500,"Alsea River Near Tidewater, Or",TIDO3
10251330,"Amargosa Rv Abv China Ranch Wash Nr Tecopa, Ca",AMCC1
10251259,Amargosa Rv At Hwy 127 Nr Ca-nv State Line,
10251300,"Amargosa Rv At Tecopa, Ca",TCPC1
11446500,American R A Fair Oaks Ca,AFOC1
11370700,Anderson-cottonwood Id Cn At Sharon Ave Redding Ca,
10259000,Andreas C Nr Palm Springs Ca,ANRC1
11503000,"Annie Spring Near Crater Lake, Or",ACLO3
14361900,"Applegate Lake Near Copper, Or.",APLO3
14366000,"Applegate River Near Applegate, Or",APRO3
14362000,"Applegate River Near Copper, Or",
14369500,"Applegate River Near Wilderville, Or",ARWO3
11447360,Arcade C Nr Del Paso Heights Ca,ACWC1
11176900,Arroyo De La Laguna A Verona Ca,ADLC1
11173200,Arroyo Hondo Nr San Jose Ca,AHOC1
11152050,Arroyo Seco Bl Reliz C Nr Soledad Ca,GRFC1
11151870,Arroyo Seco Nr Greenfield Ca,ARRC1
11098000,Arroyo Seco Nr Pasadena Ca,ASPC1
11152000,Arroyo Seco Nr Soledad Ca,SOLC1
11047300,Arroyo Trabuco A San Juan Capistrano Ca,ARYC1
11176400,Arroyo Valle Bl Lang Cyn Nr Livermore Ca,YLEC1
11176500,Arroyo Valle Nr Livermore Ca,LVKC1
10311200,"Ash Cyn Ck Nr Carson City, Nv",ACLN2
9415645,"Ash Spgs Ck Blw Div At Hwy 93 At Ash Spgs, Nv",ASCN2
94156395,"Ash Spgs Div Ditch Blw Hwy 93 At Ash Spgs, Nv",ADDN2
103087891,Aspen C Abv Leviathan Mine Nr Markleeville Ca,
11120000,Atascadero C Nr Goleta Ca,ATDC1
11467200,Austin C Nr Cazadero Ca,AUSC1
14034480,"Balm Fork Near Heppner, Or",
11447605,Barge Canal Nr West Sacramento Ca,
